task_id,mode,path
SK-WF2-D03,write,local-coding-worker/scripts
SK-WF2-D03,write,local-coding-worker/tests
SK-WF2-D03,write,tests/wf2_acceptance/d
SK-WF2-D03,read,planning/workflow-foundation-v2
SK-WF2-D04,write,cuda/scripts
SK-WF2-D04,write,cuda/tests
SK-WF2-D04,write,local-coding-worker/local_worker
SK-WF2-D04,write,local-coding-worker/scripts
SK-WF2-D04,write,local-coding-worker/tests
SK-WF2-D04,write,tests/wf2_acceptance/d
SK-WF2-D04,read,planning/workflow-foundation-v2
SK-WF2-V01,write,tests/wf2_validation
SK-WF2-V01,write,docs/workflow_foundation_v2/validation
SK-WF2-V01,write,tests/wf2_acceptance/v
SK-WF2-V01,read,planning/workflow-foundation-v2
SK-WF2-V02,write,tests/wf2_validation
SK-WF2-V02,write,docs/workflow_foundation_v2/validation
SK-WF2-V02,write,tests/wf2_acceptance/v
SK-WF2-V02,read,planning/workflow-foundation-v2
SK-WF2-V03,write,tests/wf2_validation
SK-WF2-V03,write,docs/workflow_foundation_v2/validation
SK-WF2-V03,write,tests/wf2_acceptance/v
SK-WF2-V03,read,planning/workflow-foundation-v2
SK-WF2-V04,write,tests/wf2_validation
SK-WF2-V04,write,docs/workflow_foundation_v2/validation
SK-WF2-V04,write,tests/wf2_acceptance/v
SK-WF2-V04,read,planning/workflow-foundation-v2
SK-WF2-I10,write,pyproject.toml
SK-WF2-I10,write,README.md
SK-WF2-I10,write,AGENTS.md
SK-WF2-I10,write,docs/workflow_foundation_v2/integration
SK-WF2-I10,write,tests/wf2_acceptance/i
SK-WF2-I10,read,planning/workflow-foundation-v2
SK-WF2-I20,write,pyproject.toml
SK-WF2-I20,write,README.md
SK-WF2-I20,write,AGENTS.md
SK-WF2-I20,write,docs/workflow_foundation_v2/integration
SK-WF2-I20,write,tests/wf2_acceptance/i
SK-WF2-I20,read,planning/workflow-foundation-v2
SK-WF2-I40,write,pyproject.toml
SK-WF2-I40,write,README.md
SK-WF2-I40,write,AGENTS.md
SK-WF2-I40,write,docs/workflow_foundation_v2/integration
SK-WF2-I40,write,tests/wf2_acceptance/i
SK-WF2-I40,read,planning/workflow-foundation-v2
SK-WF2-I60,write,pyproject.toml
SK-WF2-I60,write,README.md
SK-WF2-I60,write,AGENTS.md
SK-WF2-I60,write,docs/workflow_foundation_v2/integration
SK-WF2-I60,write,tests/wf2_acceptance/i
SK-WF2-I60,read,planning/workflow-foundation-v2
SK-WF2-I90,write,pyproject.toml
SK-WF2-I90,write,README.md
SK-WF2-I90,write,AGENTS.md
SK-WF2-I90,write,docs/workflow_foundation_v2/integration
SK-WF2-I90,write,tests/wf2_acceptance/i
SK-WF2-I90,read,planning/workflow-foundation-v2
